Crash Severity Description,Reportnumber,Agencyname,CollisionImpact Description,Crash County Description,FunctionalClass Description,ImpairedCrash,Large Vehicle Involved,OffRoad,RoadName,Route Number,RouteType Description,Unrestrained Occupants,Crashdate,Work Zone Crash,Latitude,Longitude,CrashYear,Crashtime,Crashhour
Property Damage Crashes,CB5412002K,Howard County Police,Front to Rear,Howard,,No,Yes,No,,96.0,PRIVATE ROAD,No,2/4/2025,No,39.21850482,-76.930118933,2025,09:05,9
Property Damage Crashes,JCP1650007,University of Maryland Baltimore Police,Angle,Baltimore City,,No,Yes,No,,1695.0,MUNICIPAL ROAD,No,2/14/2025,No,39.292784575,-76.623824077,2025,09:07,9
Injury Crashes,MTA0460000W,Maryland Transit Administration,"Sideswipe, Same Direction",Baltimore City,Major Collector,No,Yes,No,BUSH ST,4305.0,MUNICIPAL ROAD,No,1/28/2025,No,39.272166009,-76.629949978,2025,06:30,6
Property Damage Crashes,MSP7875001V,Maryland State Police,Single Vehicle,Prince George's,Principal Arterial – Other,No,Yes,No,CRAIN HWY,301.0,UNITED STATE ROUTE,No,2/10/2025,No,38.928213333,-76.716481667,2025,07:45,7
Property Damage Crashes,AE5895008P,Baltimore County Police Department,Front to Rear,Baltimore County,,No,Yes,No,EASTERN AVE (WB/L),150.0,MARYLAND ROUTE,No,2/5/2025,No,39.349942188,-76.380229908,2025,15:05,15
Property Damage Crashes,AE6543000F,Baltimore County Police Department,"Sideswipe, Same Direction",Baltimore County,,No,Yes,No,,1507.0,PRIVATE ROAD,No,1/9/2025,No,39.344877573,-76.450584745,2025,15:30,15
Injury Crashes,MTA03660016,Maryland Transit Administration,Single Vehicle,Baltimore City,Principal Arterial – Other,No,Yes,No,GREENMOUNT AVE,1500.0,MUNICIPAL ROAD,Yes,2/19/2025,No,39.300921927,-76.606947728,2025,09:46,9
Property Damage Crashes,ADK9710013,Baltimore City Police Department,Single Vehicle,Baltimore City,Principal Arterial – Other,No,Yes,No,DRUID PARK LAKE DR (WB/L),1035.0,MUNICIPAL ROAD,Yes,1/29/2025,No,39.3155907,-76.64012868,2025,10:40,10
Property Damage Crashes,BSPDA1680015,Baltimore City School Police,Other,Baltimore City,Minor Arterial,No,Yes,No,NORTH POINT RD,1190.0,MUNICIPAL ROAD,No,1/10/2025,No,39.303679,-76.539219793,2025,09:45,9
Property Damage Crashes,MSP693600WZ,Maryland State Police,"Sideswipe, Same Direction",Baltimore County,Interstate,No,Yes,No,RAMP 7 FR IS 695 WB TO IS 95 SB,95.0,RAMP,No,1/27/2025,No,39.252030814,-76.681384782,2025,12:29,12
Property Damage Crashes,AE440101KH,Baltimore County Police Department,"Sideswipe, Same Direction",Baltimore County,Principal Arterial – Other,No,Yes,No,EASTERN AVE,150.0,MARYLAND ROUTE,No,1/14/2025,No,39.296115833,-76.508818833,2025,10:00,10
Property Damage Crashes,ADL019000Z,Baltimore City Police Department,Front to Rear,Baltimore City,Principal Arterial – Other,No,Yes,No,LIGHT ST (SB/L),2.0,MARYLAND ROUTE,No,3/11/2025,No,39.287598745,-76.613607989,2025,15:24,15
Property Damage Crashes,AC2326005P,Anne Arundel County Police,Front to Rear,Anne Arundel,,No,Yes,No,,1599.0,PRIVATE ROAD,No,1/31/2025,No,38.924812911,-76.564664513,2025,07:51,7
Property Damage Crashes,CB5933007J,Howard County Police,"Sideswipe, Same Direction",Howard,,No,Yes,Yes,,,,Yes,2/14/2025,No,39.290928482,-76.833104518,2025,16:13,16
Property Damage Crashes,AC26710002,Anne Arundel County Police,"Sideswipe, Same Direction",Anne Arundel,Principal Arterial – Other,No,Yes,No,ROBERT CRAIN HWY,3.0,MARYLAND ROUTE,No,3/20/2025,No,39.038010639,-76.676013937,2025,13:12,13
Property Damage Crashes,AE6469005Z,Baltimore County Police Department,Front to Rear,Baltimore County,Local,No,Yes,No,CRONDALL LA,709.0,COUNTY ROAD,No,3/7/2025,No,39.435199,-76.773757333,2025,19:00,19
Property Damage Crashes,AE64870063,Baltimore County Police Department,"Sideswipe, Same Direction",Baltimore County,,No,Yes,No,,722.0,COUNTY ROAD,No,2/21/2025,No,39.372179632,-76.68228548,2025,10:02,10
Property Damage Crashes,AE451900V9,Baltimore County Police Department,Front to Front,Baltimore County,Local,No,Yes,No,54TH ST,5141.0,COUNTY ROAD,No,1/9/2025,No,39.294960712,-76.511787035,2025,11:25,11
Injury Crashes,CB5878007P,Howard County Police,Angle,Howard,,No,Yes,Yes,,,,Yes,3/29/2025,No,39.135746086,-76.796167872,2025,01:43,1
Property Damage Crashes,MTA0385002D,Maryland Transit Administration,Rear To Side,Baltimore City,Local,No,Yes,No,HOLLINS ST,4859.0,MUNICIPAL ROAD,Yes,2/12/2025,No,39.287370374,-76.649310844,2025,16:10,16
Property Damage Crashes,AE635200BW,Baltimore County Police Department,Single Vehicle,Baltimore County,,No,Yes,No,ESPLANADE CT,5267.0,LOCAL ROAD,No,1/8/2025,No,39.406090618,-76.798984273,2025,15:10,15
Injury Crashes,MSP7872001N,Maryland State Police,Other,Prince George's,Principal Arterial – Other,No,Yes,No,BRANCH AVE (SB/L),5.0,MARYLAND ROUTE,No,1/22/2025,No,38.727919161,-76.881638668,2025,12:29,12
Property Damage Crashes,DA3650004Y,Prince George's County Police,Front to Rear,Prince George's,,No,Yes,Yes,,,,No,2/18/2025,No,38.950823807,-76.870598002,2025,07:38,7
Property Damage Crashes,ADK796001X,Baltimore City Police Department,Single Vehicle,Baltimore City,,No,Yes,No,,1.0,UNITED STATE ROUTE,No,1/2/2025,No,39.310209993,-76.636954765,2025,23:15,23
Property Damage Crashes,ADJ084008R,Baltimore City Police Department,Single Vehicle,Baltimore City,,No,Yes,Yes,,,,Yes,3/27/2025,No,39.343019791,-76.651786805,2025,02:09,2
Property Damage Crashes,DA2735005Z,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Local,No,Yes,No,NIGHTHAWK LA,1963.0,MUNICIPAL ROAD,No,1/31/2025,No,38.945031625,-76.744650396,2025,18:10,18
Property Damage Crashes,DA409900F7,Prince George's County Police,Other,Prince George's,Local,No,Yes,No,ROSEDALE PL,1321.0,COUNTY ROAD,No,3/5/2025,No,38.963340057,-76.990467946,2025,14:10,14
Property Damage Crashes,MSP693600XH,Maryland State Police,Front to Rear,Howard,Interstate,No,Yes,No,NO NAME (SB/L),95.0,INTERSTATE ROUTE,No,3/19/2025,No,39.165385,-76.811901667,2025,08:17,8
Property Damage Crashes,AE558200CH,Baltimore County Police Department,"Sideswipe, Same Direction",Baltimore County,,No,Yes,No,,768.0,COUNTY ROAD,No,1/31/2025,No,39.457774506,-76.614452267,2025,07:52,7
Injury Crashes,MTA0400001H,Maryland Transit Administration,Single Vehicle,Baltimore City,Principal Arterial – Other,No,Yes,No,MARTIN LUTHER KING JR BLVD (SB/L),6020.0,MUNICIPAL ROAD,Yes,1/15/2025,No,39.283299764,-76.626444014,2025,17:25,17
Property Damage Crashes,ADG6400035,Baltimore City Police Department,Other,Baltimore City,,No,Yes,No,,2880.0,MUNICIPAL ROAD,No,1/24/2025,No,39.314811514,-76.672736267,2025,13:00,13
Property Damage Crashes,ADJ60800DR,Baltimore City Police Department,"Sideswipe, Opposite Direction",Baltimore City,Major Collector,No,Yes,No,TANEY RD,2790.0,MUNICIPAL ROAD,No,1/29/2025,No,39.363290271,-76.685023822,2025,18:17,18
Property Damage Crashes,BSPDA165000F,Baltimore City School Police,Angle,Baltimore City,Principal Arterial – Other,No,Yes,No,W COLD SPRING LA,2100.0,MUNICIPAL ROAD,No,2/6/2025,No,39.344993626,-76.626941538,2025,07:45,7
Property Damage Crashes,MSP74220065,Maryland State Police,Single Vehicle,Baltimore County,Interstate,No,Yes,No,BALTO BELTWAY (INNER LOOP),695.0,INTERSTATE ROUTE,No,1/19/2025,No,39.41393409,-76.588420814,2025,15:25,15
Property Damage Crashes,AE605100FV,Baltimore County Police Department,Other,Baltimore County,Local,No,Yes,No,TODD AVE,5415.0,COUNTY ROAD,No,1/6/2025,No,39.275351802,-76.51228683,2025,14:55,14
Property Damage Crashes,MSP757700HC,Maryland State Police,"Sideswipe, Same Direction",Prince George's,,No,Yes,No,,50.0,UNITED STATE ROUTE,No,1/31/2025,No,38.946364346,-76.845639097,2025,07:10,7
Injury Crashes,AE4194007Q,Baltimore County Police Department,Front to Rear,Baltimore County,Major Collector,No,Yes,No,OLD YORK RD,439.0,MARYLAND ROUTE,No,3/3/2025,No,39.695094527,-76.619225808,2025,16:03,16
Property Damage Crashes,DA3351001W,Prince George's County Police,Unknown,Prince George's,Major Collector,No,Yes,No,CONTEE RD,6.0,COUNTY ROAD,No,2/12/2025,No,39.074357945,-76.862475759,2025,13:05,13
Property Damage Crashes,MSP78790019,Maryland State Police,"Sideswipe, Same Direction",Baltimore County,Interstate,No,Yes,No,BALTO BELTWAY (INNER LOOP),695.0,INTERSTATE ROUTE,No,2/13/2025,No,39.250587267,-76.679403133,2025,10:50,10
Property Damage Crashes,DS0401000Y,University of Maryland Police College Park,"Sideswipe, Opposite Direction",Prince George's,Local,No,Yes,No,ROSSBOROUGH LA,163.0,STATE ROAD,No,3/29/2025,Yes,38.985711566,-76.937133735,2025,10:30,10
Injury Crashes,MTA02840025,Maryland Transit Administration,Front to Rear,Baltimore City,Minor Arterial,No,Yes,No,N BROADWAY,1445.0,MUNICIPAL ROAD,Yes,1/30/2025,No,39.295366412,-76.593963849,2025,11:28,11
Property Damage Crashes,AC2010004D,Anne Arundel County Police,Front to Rear,Anne Arundel,Minor Arterial,No,Yes,No,ARUNDEL MILLS BLVD (SB/L),713.0,MARYLAND ROUTE,Yes,1/7/2025,No,39.152620483,-76.720513243,2025,10:50,10
Property Damage Crashes,DA4309002N,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Local,No,Yes,No,CEDAR HOLLOW LA,4001.0,COUNTY ROAD,Yes,2/14/2025,No,38.874878654,-76.835763871,2025,02:45,2
Injury Crashes,AC23580057,Anne Arundel County Police,Front to Front,Anne Arundel,Principal Arterial – Other,No,Yes,No,TELEGRAPH RD,170.0,MARYLAND ROUTE,No,1/12/2025,No,39.134172824,-76.687197545,2025,05:40,5
Property Damage Crashes,BSPDA285000H,Baltimore City School Police,Front to Rear,Baltimore City,Minor Arterial,No,Yes,No,GWYNNS FALLS PKWY,1023.0,MUNICIPAL ROAD,No,2/21/2025,No,39.315686531,-76.651976402,2025,16:50,16
Property Damage Crashes,HV0139001D,University Park Police,"Sideswipe, Same Direction",Prince George's,Principal Arterial – Other,No,Yes,No,BALTIMORE AVE,1.0,UNITED STATE ROUTE,No,1/23/2025,No,38.966191459,-76.938871952,2025,14:45,14
Injury Crashes,ADK706000Z,Baltimore City Police Department,Single Vehicle,Baltimore City,Major Collector,No,Yes,No,FORDS LA,2830.0,MUNICIPAL ROAD,No,2/7/2025,No,39.355508532,-76.701377122,2025,19:13,19
Property Damage Crashes,DA4333003Z,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Minor Arterial,No,Yes,No,RIGGS RD (SB/L),212.0,MARYLAND ROUTE,No,2/23/2025,Yes,38.983757725,-76.979231735,2025,12:10,12
Property Damage Crashes,CB64280032,Howard County Police,Front to Rear,Howard,,No,Yes,No,,844.0,BIKE ROUTE,No,1/9/2025,No,39.208018626,-76.831760813,2025,08:02,8
Injury Crashes,MTA0460000X,Maryland Transit Administration,Single Vehicle,Baltimore County,Minor Arterial,No,Yes,No,SECURITY BLVD (WB/L),122.0,MARYLAND ROUTE,Yes,2/14/2025,No,39.313019247,-76.752484297,2025,07:40,7
Property Damage Crashes,DA4276007F,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Local,No,Yes,No,OLD LANDOVER RD,1734.0,COUNTY ROAD,No,3/13/2025,No,38.93320725,-76.907693792,2025,17:55,17
Property Damage Crashes,ADH481003B,Baltimore City Police Department,Front to Rear,Baltimore City,Minor Arterial,No,Yes,No,N HOWARD ST,1703.0,MUNICIPAL ROAD,No,3/18/2025,No,39.310852698,-76.619359812,2025,20:29,20
Property Damage Crashes,AE5695006M,Baltimore County Police Department,Front to Front,Baltimore County,Local,No,Yes,No,RUBENS RD,4342.0,COUNTY ROAD,No,3/10/2025,No,39.336717105,-76.529051066,2025,07:14,7
Property Damage Crashes,DA4034005K,Prince George's County Police,Rear To Side,Prince George's,,No,Yes,Yes,,,,No,3/24/2025,No,38.97034759,-76.903576381,2025,14:43,14
Property Damage Crashes,ADK2850025,Baltimore City Police Department,"Sideswipe, Opposite Direction",Baltimore City,Minor Arterial,No,Yes,No,PARKSIDE DR,1100.0,MUNICIPAL ROAD,No,1/10/2025,No,39.327292505,-76.565357322,2025,10:10,10
Property Damage Crashes,CE45870081,Laurel Police Department,Other,Prince George's,,No,Yes,Yes,,,,No,2/6/2025,No,39.095188405,-76.855637313,2025,08:21,8
Property Damage Crashes,AE6830000N,Baltimore County Police Department,Front to Rear,Baltimore County,Principal Arterial – Other,No,Yes,No,MERRITT BLVD (SB/L),157.0,MARYLAND ROUTE,No,2/7/2025,No,39.273756725,-76.503099638,2025,18:03,18
Property Damage Crashes,BSPDA119000S,Baltimore City School Police,Front to Rear,Baltimore City,,No,Yes,No,,140.0,RAILROAD,Yes,3/12/2025,No,39.313032234,-76.646067524,2025,07:08,7
Property Damage Crashes,ADK5360036,Baltimore City Police Department,Single Vehicle,Baltimore City,,No,Yes,Yes,,,,No,2/28/2025,No,39.236024606,-76.599564681,2025,11:46,11
Property Damage Crashes,DA381700L8,Prince George's County Police,Rear To Side,Prince George's,,No,Yes,Yes,,,,Yes,1/30/2025,No,38.762383251,-76.902629081,2025,08:50,8
Injury Crashes,MTA04230015,Maryland Transit Administration,"Sideswipe, Same Direction",Baltimore County,Principal Arterial – Other,No,Yes,No,HOLABIRD AVE,5212.0,COUNTY ROAD,No,2/4/2025,No,39.272242136,-76.529270304,2025,10:05,10
Property Damage Crashes,ADF828005L,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Local,No,Yes,No,BOARMAN AV,7252.0,MUNICIPAL ROAD,No,1/18/2025,No,39.339732785,-76.664164078,2025,00:47,0
Injury Crashes,MTA0145001Z,Maryland Transit Administration,"Sideswipe, Same Direction",Baltimore City,Minor Arterial,No,Yes,No,MARYLAND AVE,1710.0,MUNICIPAL ROAD,No,2/15/2025,No,39.31332576,-76.618106052,2025,14:20,14
Property Damage Crashes,ADF7360079,Baltimore City Police Department,Front to Rear,Baltimore City,Minor Arterial,Yes,Yes,No,W 41ST ST,989.0,MUNICIPAL ROAD,No,2/2/2025,No,39.335891169,-76.641808498,2025,00:12,0
Property Damage Crashes,AM0388002Q,Bladensburg Police Department,Front to Rear,Prince George's,Major Collector,No,Yes,No,57TH AVE,570.0,MUNICIPAL ROAD,No,3/14/2025,No,38.939884467,-76.917881918,2025,17:09,17
Property Damage Crashes,MSP6857008F,Maryland State Police,Single Vehicle,Anne Arundel,Principal Arterial – Other Freeways and Expressways,No,Yes,No,JOHN HANSON HWY,50.0,UNITED STATE ROUTE,No,1/16/2025,No,39.013940555,-76.491456532,2025,05:46,5
Property Damage Crashes,DA44170006,Prince George's County Police,Single Vehicle,Prince George's,Principal Arterial – Other,No,Yes,No,ST BARNABAS RD (WB/L),414.0,MARYLAND ROUTE,No,1/12/2025,No,38.823694077,-76.948701173,2025,04:03,4
Injury Crashes,ADL016000K,Baltimore City Police Department,Front to Rear,Baltimore City,Principal Arterial – Other,No,Yes,No,HARFORD RD,147.0,MARYLAND ROUTE,No,3/12/2025,No,39.365377251,-76.549394325,2025,18:40,18
Property Damage Crashes,AE6581006C,Baltimore County Police Department,"Sideswipe, Opposite Direction",Baltimore County,Local,No,Yes,No,WESTWOOD AVE,4315.0,COUNTY ROAD,No,1/11/2025,No,39.3471135,-76.527350667,2025,08:45,8
Injury Crashes,DA4377000Y,Prince George's County Police,"Sideswipe, Opposite Direction",Prince George's,Minor Arterial,No,Yes,No,BOCK RD,148.0,COUNTY ROAD,No,1/19/2025,No,38.790405807,-76.971373482,2025,15:43,15
Property Damage Crashes,CB6179008R,Howard County Police,Single Vehicle,Howard,,No,Yes,Yes,,,,No,1/14/2025,No,39.280266671,-76.869593718,2025,13:31,13
Property Damage Crashes,AE601300CL,Baltimore County Police Department,Angle,Baltimore County,Principal Arterial – Other,No,Yes,No,WASHINGTON BLVD,1.0,UNITED STATE ROUTE,No,1/24/2025,No,39.243470667,-76.675994667,2025,09:02,9
Property Damage Crashes,MSP7776004K,Maryland State Police,Single Vehicle,Prince George's,Interstate,No,Yes,No,NO NAME,95.0,INTERSTATE ROUTE,No,2/2/2025,No,39.074106667,-76.904885,2025,09:36,9
Property Damage Crashes,DA3561004N,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Principal Arterial – Other,No,Yes,No,KENILWORTH AVE (SB/L),201.0,MARYLAND ROUTE,No,3/12/2025,No,38.967985644,-76.91796504,2025,16:29,16
Property Damage Crashes,MSP757700HN,Maryland State Police,Single Vehicle,Prince George's,Principal Arterial – Other Freeways and Expressways,No,Yes,No,JOHN HANSON HWY (WB/L),50.0,UNITED STATE ROUTE,No,2/11/2025,No,38.917047201,-76.923293256,2025,15:41,15
Property Damage Crashes,DA4426000C,Prince George's County Police,Front to Rear,Prince George's,Principal Arterial – Other,No,Yes,No,SILVER HILL RD,458.0,MARYLAND ROUTE,No,1/21/2025,No,38.852767097,-76.910860433,2025,09:30,9
Property Damage Crashes,ADK793001R,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Principal Arterial – Other,No,Yes,No,N CHARLES ST,139.0,MARYLAND ROUTE,No,3/6/2025,No,39.362982715,-76.62506597,2025,13:48,13
Property Damage Crashes,DA3120005J,Prince George's County Police,Single Vehicle,Prince George's,Major Collector,No,Yes,No,ACCOKEEK RD,373.0,MARYLAND ROUTE,No,3/10/2025,No,38.68535499,-76.922168167,2025,14:20,14
Property Damage Crashes,AC220600BM,Anne Arundel County Police,Front to Rear,Anne Arundel,Minor Arterial,No,Yes,No,BALTO ANNAPOLIS BLVD,648.0,MARYLAND ROUTE,Yes,3/11/2025,No,39.19381965,-76.641779983,2025,08:30,8
Injury Crashes,AC163700W2,Anne Arundel County Police,"Sideswipe, Same Direction",Anne Arundel,Minor Arterial,No,Yes,No,ELKRIDGE LANDING RD,9.0,COUNTY ROAD,No,1/6/2025,No,39.191287264,-76.679176903,2025,10:03,10
Property Damage Crashes,AE6818000D,Baltimore County Police Department,Angle,Baltimore County,,No,Yes,No,,4461.0,COUNTY ROAD,No,1/14/2025,No,39.350568299,-76.485392187,2025,13:25,13
Property Damage Crashes,BW0195001W,Greenbelt Police Department,"Sideswipe, Same Direction",Prince George's,,Yes,Yes,Yes,,,,No,1/4/2025,No,39.004747323,-76.902762655,2025,01:09,1
Property Damage Crashes,CB5570007R,Howard County Police,Rear To Rear,Howard,Local,No,Yes,No,TREE SWALLOW CT,2108.0,COUNTY ROAD,No,2/12/2025,No,39.203534417,-76.887388017,2025,06:15,6
Property Damage Crashes,AE6824000Y,Baltimore County Police Department,Angle,Baltimore County,,No,Yes,No,,105.0,RAILROAD,No,3/7/2025,No,39.420478519,-76.772483487,2025,07:30,7
Injury Crashes,MSP77700072,Maryland State Police,Front to Rear,Prince George's,Interstate,No,Yes,No,RAMP 8 FR MD 5 SB TO IS 95 SB,95.0,RAMP,No,3/16/2025,No,38.820174217,-76.924693519,2025,23:14,23
Property Damage Crashes,MSP743400MY,Maryland State Police,"Sideswipe, Same Direction",Baltimore County,Interstate,No,Yes,No,BALTO BELTWAY (INNER LOOP),695.0,INTERSTATE ROUTE,No,3/8/2025,No,39.400444994,-76.680453289,2025,14:54,14
Injury Crashes,MTA04170010,Maryland Transit Administration,Front to Rear,Baltimore City,Major Collector,No,Yes,No,W GARRISON AVE,2123.0,MUNICIPAL ROAD,No,3/10/2025,No,39.342112069,-76.682305629,2025,15:34,15
Property Damage Crashes,ADJ7680096,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Local,No,Yes,No,JUNEWAY,4937.0,MUNICIPAL ROAD,No,3/12/2025,No,39.318177397,-76.567387222,2025,12:20,12
Property Damage Crashes,DA30400017,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Local,No,Yes,No,CLOVIS AVE,100.0,MUNICIPAL ROAD,No,2/27/2025,No,38.8833658,-76.9180015,2025,07:30,7
Property Damage Crashes,CC0294002F,Hyattsville Police Department,Single Vehicle,Prince George's,Local,No,Yes,No,43RD AVE #2,9432.0,MUNICIPAL ROAD,No,2/27/2025,No,38.959208887,-76.943317283,2025,09:00,9
Property Damage Crashes,AC25840081,Anne Arundel County Police,"Sideswipe, Same Direction",Anne Arundel,,No,Yes,Yes,,,,Yes,3/26/2025,No,39.190232097,-76.636186572,2025,14:38,14
Injury Crashes,ADK135003F,Baltimore City Police Department,Front to Rear,Baltimore City,Major Collector,No,Yes,No,N WARWICK AVE,4161.0,MUNICIPAL ROAD,Yes,2/2/2025,No,39.294660863,-76.656306497,2025,16:23,16
Property Damage Crashes,DA4391000X,Prince George's County Police,Single Vehicle,Prince George's,Local,No,Yes,No,MENTOR AVE,390.0,COUNTY ROAD,Yes,1/21/2025,No,38.876589313,-76.919568135,2025,15:10,15
Property Damage Crashes,DA4430000J,Prince George's County Police,Single Vehicle,Prince George's,Principal Arterial – Other,No,Yes,No,MARTIN LUTHER KING JR HWY (WB/L),704.0,MARYLAND ROUTE,No,3/19/2025,No,38.918389101,-76.880307885,2025,18:20,18
Property Damage Crashes,DA26640004,Prince George's County Police,Other,Prince George's,Principal Arterial – Other,No,Yes,No,,202.0,MARYLAND ROUTE,No,1/30/2025,No,38.846003786,-76.763455858,2025,18:15,18
Property Damage Crashes,AE601300CV,Baltimore County Police Department,"Sideswipe, Same Direction",Baltimore County,Local,No,Yes,No,ALAN DR,2984.0,COUNTY ROAD,No,2/11/2025,No,39.264464139,-76.694663038,2025,08:54,8
Property Damage Crashes,MDTA1207009M,Maryland Transportation Authority Police,"Sideswipe, Same Direction",Baltimore City,Interstate,No,Yes,No,FORT MCHENRY TUNNEL (SB/L),95.0,INTERSTATE ROUTE,No,2/21/2025,No,39.284485277,-76.54545765,2025,09:15,9
Property Damage Crashes,CBPD0098007B,Bowie Police Department,Single Vehicle,Prince George's,Local,No,Yes,No,HEMMING LA,840.0,MUNICIPAL ROAD,No,3/1/2025,No,38.951654926,-76.733972322,2025,10:30,10
Property Damage Crashes,ADK7180036,Baltimore City Police Department,"Sideswipe, Opposite Direction",Baltimore City,Major Collector,No,Yes,No,BELLE AVE,4440.0,MUNICIPAL ROAD,No,2/12/2025,No,39.333118964,-76.685407943,2025,12:47,12
Property Damage Crashes,BSPDA284000Y,Baltimore City School Police,"Sideswipe, Same Direction",Baltimore City,Principal Arterial – Other,No,Yes,No,HILLEN RD,41.0,MARYLAND ROUTE,No,3/13/2025,No,39.345247151,-76.586094064,2025,17:45,17
Injury Crashes,MTA0455000Q,Maryland Transit Administration,Other,Baltimore County,Local,No,Yes,No,SECURITY BLVD (WB/L),2400.0,COUNTY ROAD,No,2/13/2025,No,39.31430215,-76.76004845,2025,21:26,21
Property Damage Crashes,DA4375002M,Prince George's County Police,Rear To Side,Prince George's,Principal Arterial – Other,No,Yes,No,PENNSYLVANIA AVE,4.0,MARYLAND ROUTE,Yes,1/24/2025,No,38.865023103,-76.933022995,2025,22:30,22
Injury Crashes,AC25590061,Anne Arundel County Police,Angle,Anne Arundel,Minor Arterial,No,Yes,No,MARLEY NECK BLVD,4237.0,COUNTY ROAD,No,3/28/2025,No,39.148075778,-76.59255585,2025,18:01,18
Property Damage Crashes,DS0526000B,University of Maryland Police College Park,Front to Rear,Prince George's,Major Collector,No,Yes,No,,69.0,STATE ROAD,No,2/26/2025,No,38.987380151,-76.945460426,2025,17:01,17
Property Damage Crashes,ADK8820017,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Local,No,Yes,No,ELM AV,7539.0,MUNICIPAL ROAD,Yes,1/9/2025,No,39.326377516,-76.630542213,2025,18:10,18
Property Damage Crashes,BSPDA163000L,Baltimore City School Police,Unknown,Baltimore City,Minor Arterial,No,Yes,No,PARK HEIGHTS AVE (SB/L),129.0,MARYLAND ROUTE,No,1/16/2025,No,39.350306423,-76.680353002,2025,17:30,17
Injury Crashes,MTA0460000Z,Maryland Transit Administration,Front to Rear,Baltimore City,,No,Yes,No,,85.0,BIKE ROUTE,Yes,3/2/2025,No,39.286835753,-76.562406871,2025,01:50,1
Property Damage Crashes,DGSP02730005,Maryland Capitol Police,"Sideswipe, Same Direction",Baltimore City,Minor Arterial,No,Yes,No,DOLPHIN ST (EB/L),1770.0,MUNICIPAL ROAD,No,1/15/2025,No,39.304247234,-76.621223551,2025,09:30,9
Property Damage Crashes,AC2322008P,Anne Arundel County Police,Front to Front,Anne Arundel,Major Collector,No,Yes,No,WHISKEY BOTTOM RD,995.0,COUNTY ROAD,No,1/30/2025,No,39.107323203,-76.81870692,2025,06:22,6
Property Damage Crashes,ADK809004P,Baltimore City Police Department,Other,Baltimore City,Principal Arterial – Other,No,Yes,No,LIGHT ST (SB/L),2.0,MARYLAND ROUTE,No,2/4/2025,No,39.284368575,-76.613328208,2025,07:45,7
Property Damage Crashes,MSP727700YW,Maryland State Police,Front to Rear,Baltimore County,Interstate,No,Yes,No,BALTO BELTWAY (INNER LOOP),695.0,INTERSTATE ROUTE,No,2/24/2025,No,39.298518746,-76.74241589,2025,09:02,9
Property Damage Crashes,MSP6859008B,Maryland State Police,Front to Front,Prince George's,Principal Arterial – Other,No,Yes,No,LARGO RD,202.0,MARYLAND ROUTE,No,2/5/2025,No,38.821965154,-76.746661616,2025,14:16,14
Property Damage Crashes,AE561400G3,Baltimore County Police Department,Front to Rear,Baltimore County,,No,Yes,No,HARFORD RD (SB/L),147.0,MARYLAND ROUTE,No,1/21/2025,No,39.378161439,-76.539127281,2025,06:55,6
Property Damage Crashes,AB72790013,Annapolis Police Department,"Sideswipe, Same Direction",Anne Arundel,Minor Collector,No,Yes,No,EDGEWOOD RD,1040.0,MUNICIPAL ROAD,No,1/14/2025,No,38.948094345,-76.485774123,2025,11:01,11
Property Damage Crashes,AE440101MJ,Baltimore County Police Department,Single Vehicle,Baltimore County,Principal Arterial – Other,No,Yes,No,NORTH POINT BLVD,151.0,MARYLAND ROUTE,No,3/25/2025,No,39.292654308,-76.514159755,2025,10:40,10
Property Damage Crashes,MSP7764007P,Maryland State Police,"Sideswipe, Same Direction",Prince George's,Minor Arterial,No,Yes,No,COLLINGTON RD,197.0,MARYLAND ROUTE,No,2/26/2025,No,38.956686708,-76.745421982,2025,14:24,14
Property Damage Crashes,DA393900G7,Prince George's County Police,Angle,Prince George's,Principal Arterial – Other Freeways and Expressways,No,Yes,No,SUITLAND PKWY,119.0,GOVERNMENT ROAD,No,1/6/2025,No,38.83069611,-76.876527304,2025,21:00,21
Property Damage Crashes,MDTA1985001V,Maryland Transportation Authority Police,Front to Rear,Baltimore City,Interstate,No,Yes,No,FORT MCHENRY TUNNEL (SB/L),95.0,INTERSTATE ROUTE,No,3/26/2025,No,39.271505042,-76.653479262,2025,06:41,6
Property Damage Crashes,CB6398003L,Howard County Police,Single Vehicle,Howard,,No,Yes,Yes,,,,No,1/17/2025,No,39.182423539,-76.813783743,2025,10:00,10
Property Damage Crashes,AE527700QR,Baltimore County Police Department,"Sideswipe, Same Direction",Baltimore County,Principal Arterial – Other,No,Yes,No,YORK RD,45.0,MARYLAND ROUTE,No,3/20/2025,No,39.489890925,-76.647807362,2025,12:34,12
